day,cases
25.11.2020,6
26.11.2020,6
27.11.2020,6
28.11.2020,6
29.11.2020,6
30.11.2020,6
01.12.2020,6
02.12.2020,6
03.12.2020,6
04.12.2020,7
05.12.2020,4
06.12.2020,4
07.12.2020,3
08.12.2020,3
09.12.2020,4
10.12.2020,4
11.12.2020,4
12.12.2020,5
13.12.2020,5
14.12.2020,4
15.12.2020,4
16.12.2020,2
17.12.2020,1
18.12.2020,1
19.12.2020,2
20.12.2020,2
21.12.2020,1
22.12.2020,1
23.12.2020,1
24.12.2020,1
25.12.2020,1
26.12.2020,1
27.12.2020,1
28.12.2020,1
29.12.2020,1
30.12.2020,1
31.12.2020,1
01.01.2021,1
02.01.2021,1
03.01.2021,1
04.01.2021,1
05.01.2021,1
06.01.2021,1
07.01.2021,1
08.01.2021,1
09.01.2021,1
10.01.2021,1
11.01.2021,1
12.01.2021,1
13.01.2021,1
14.01.2021,1
15.01.2021,1
16.01.2021,1
17.01.2021,1
18.01.2021,1
19.01.2021,2
20.01.2021,2
21.01.2021,2
22.01.2021,2
23.01.2021,2
24.01.2021,2
25.01.2021,2
26.01.2021,2
27.01.2021,3
28.01.2021,2
29.01.2021,2
30.01.2021,2
31.01.2021,2
01.02.2021,2
02.02.2021,2
03.02.2021,2
04.02.2021,2
05.02.2021,2
06.02.2021,2
07.02.2021,2
08.02.2021,2
09.02.2021,2
10.02.2021,2
11.02.2021,2
12.02.2021,2
13.02.2021,3
14.02.2021,3
15.02.2021,3
16.02.2021,2
17.02.2021,2
18.02.2021,2
19.02.2021,2
20.02.2021,2
21.02.2021,2
22.02.2021,3
23.02.2021,3
24.02.2021,3
25.02.2021,3
26.02.2021,3
27.02.2021,3
28.02.2021,3
01.03.2021,3
02.03.2021,4
03.03.2021,4
04.03.2021,5
05.03.2021,5
06.03.2021,5
07.03.2021,5
08.03.2021,5
09.03.2021,5
10.03.2021,5
11.03.2021,6
12.03.2021,6
13.03.2021,6
14.03.2021,6
15.03.2021,6
16.03.2021,6
17.03.2021,6
18.03.2021,8
19.03.2021,8
20.03.2021,8
21.03.2021,5
22.03.2021,5
23.03.2021,5
24.03.2021,5
25.03.2021,7
26.03.2021,7
27.03.2021,7
28.03.2021,7
29.03.2021,7
30.03.2021,7
31.03.2021,7
01.04.2021,16
02.04.2021,18
03.04.2021,21
04.04.2021,26
05.04.2021,53
06.04.2021,66
07.04.2021,117
08.04.2021,150
09.04.2021,188
10.04.2021,240
11.04.2021,400
12.04.2021,639
13.04.2021,795
14.04.2021,902
15.04.2021,1139
16.04.2021,1296
17.04.2021,1567
18.04.2021,2369
19.04.2021,3062
20.04.2021,3795
21.04.2021,4838
22.04.2021,6012
23.04.2021,5410
24.04.2021,4328
25.04.2021,4328
26.04.2021,3895
27.04.2021,4415
28.04.2021,4415
29.04.2021,4709
30.04.2021,4866
01.05.2021,4704
02.05.2021,5958
03.05.2021,4171
04.05.2021,3475
05.05.2021,4402
06.05.2021,4256
07.05.2021,5249
08.05.2021,5249
09.05.2021,6474
10.05.2021,4316
11.05.2021,3740
12.05.2021,3740
13.05.2021,2493
14.05.2021,2992
15.05.2021,2493
16.05.2021,2493
17.05.2021,2576
18.05.2021,3263
19.05.2021,2284
20.05.2021,2284
21.05.2021,2741
22.05.2021,2741
23.05.2021,3381
24.05.2021,4395
25.05.2021,4395
26.05.2021,4395
27.05.2021,3370
28.05.2021,4156
29.05.2021,4156
30.05.2021,4156
31.05.2021,4018
01.06.2021,2678
02.06.2021,2053
03.06.2021,2053
04.06.2021,2122
05.06.2021,1909
06.06.2021,1400
07.06.2021,1400
08.06.2021,1400
09.06.2021,1400
10.06.2021,1400
11.06.2021,1400
12.06.2021,1400
13.06.2021,1774
14.06.2021,1301
15.06.2021,954
16.06.2021,1081
17.06.2021,1153
18.06.2021,1153
19.06.2021,922
20.06.2021,799
21.06.2021,1066
22.06.2021,1279
23.06.2021,1279
24.06.2021,1279
25.06.2021,895
26.06.2021,895
27.06.2021,895
28.06.2021,746
29.06.2021,970
30.06.2021,1131
